I－5－1図　学校種類別進学率の推移,,,,,,,,,
,,,,,,,,,（％）
年度,高等学校等（男子）,高等学校等（女子）,専修学校（専門課程，男子）,専修学校（専門課程，女子）,大学（学部，男子）,大学（学部，女子）,短期大学（本科，女子）,大学院（男子）,大学院（女子）
昭和25,48.0,36.7,,,,,,,
26,51.4,39.6,,,,,,,
27,52.9,42.1,,,,,,,
28,52.7,43.7,,,,,,,
29,55.1,46.5,,,13.3,2.4,2.2,,
30,55.5,47.4,,,13.1,2.4,2.6,,
31,55.0,47.6,,,13.1,2.3,2.6,,
32,54.3,48.4,,,15.2,2.5,2.9,,
33,56.2,51.1,,,14.5,2.4,2.8,,
34,57.5,53.2,,,13.7,2.3,2.8,,
35,59.6,55.9,,,13.7,2.5,3.0,,
36,63.8,60.7,,,15.4,3.0,3.5,,
37,65.5,62.5,,,16.5,3.3,4.1,,
38,68.4,65.1,,,19.8,3.9,5.1,,
39,70.6,67.9,,,25.6,5.1,6.5,,
40,71.7,69.6,,,20.7,4.6,6.7,4.7,1.9
41,73.5,71.2,,,18.7,4.5,7.3,5.7,2.3
42,75.3,73.7,,,20.5,4.9,8.5,5.5,2.4
43,77.0,76.5,,,22.0,5.2,9.2,5.3,2.4
44,79.2,79.5,,,24.7,5.8,10.3,5.5,2.3
45,81.6,82.7,,,27.3,6.5,11.2,5.1,1.5
46,84.1,85.9,,,30.3,8.0,12.8,4.4,1.5
47,86.2,88.2,,,33.5,9.3,14.4,4.6,1.7
48,88.3,90.6,,,35.6,10.6,16.4,4.7,1.7
49,89.7,91.9,,,38.1,11.6,18.2,4.6,1.6
50,91.0,93.0,,,41.0,12.7,20.2,5.1,1.7
51,91.7,93.5,1.8,5.3,40.9,13.0,20.6,5.2,1.6
52,92.2,94.0,5.9,13.3,39.6,12.6,20.7,5.0,1.6
53,92.7,94.4,7.4,14.9,40.8,12.5,21.0,4.7,1.6
54,93.0,95.0,8.0,15.5,39.3,12.2,20.9,4.5,1.6
55,93.1,95.4,8.7,15.6,39.3,12.3,21.0,4.7,1.6
56,93.2,95.4,9.2,15.7,38.6,12.2,20.8,4.9,1.7
57,93.2,95.5,9.5,15.3,37.9,12.2,20.5,5.3,2.1
58,92.8,95.2,10.2,15.3,36.1,12.2,19.9,5.8,2.1
59,92.8,95.0,10.9,15.8,36.4,12.7,20.1,6.2,2.3
60,92.8,94.9,11.3,15.8,38.6,13.7,20.8,6.5,2.5
61,92.8,94.9,11.5,15.4,34.2,12.5,21.0,6.7,2.8
62,92.8,95.0,12.7,16.0,35.3,13.6,21.5,7.1,2.9
63,92.9,95.3,14.0,16.6,35.3,14.4,21.8,7.3,2.7
平成元,93.0,95.3,14.9,17.1,34.1,14.7,22.1,7.6,3.0
2,93.2,95.6,16.2,17.6,33.4,15.2,22.2,7.7,3.1
3,93.5,95.8,16.8,17.9,34.5,16.1,23.1,8.1,3.3
4,93.9,96.2,17.1,18.5,35.2,17.3,23.5,8.8,3.7
5,94.2,96.5,17.4,19.0,36.6,19.0,24.4,9.8,4.4
6,94.6,96.8,17.5,19.5,38.9,21.0,24.9,10.9,5.1
7,94.7,97.0,17.9,20.0,40.7,22.9,24.6,10.7,5.5
8,94.8,97.1,18.2,20.6,41.9,24.6,23.7,10.7,5.4
9,94.8,97.0,18.2,20.9,43.4,26.0,22.9,10.6,5.3
10,94.8,97.0,17.9,21.1,44.9,27.5,21.9,11.0,5.6
11,94.8,96.9,18.1,22.0,46.5,29.4,20.2,12.0,6.0
12,95.0,96.8,18.5,23.1,47.5,31.5,17.2,12.8,6.3
13,95.0,96.7,18.3,23.4,46.9,32.7,15.8,12.8,6.3
14,95.2,96.5,19.3,24.3,47.0,33.8,14.7,13.2,6.4
15,95.7,96.6,20.7,25.6,47.8,34.4,13.9,13.8,6.8
16,96.0,96.7,21.5,26.1,49.3,35.2,13.5,14.4,7.1
17,96.1,96.8,21.5,26.4,51.3,36.8,13.0,14.8,7.2
18,96.2,96.8,20.2,25.3,52.1,38.5,12.4,15.1,7.1
19,96.1,96.6,18.9,24.6,53.5,40.6,11.9,15.0,7.0
20,96.2,96.6,17.7,23.6,55.2,42.6,11.5,15.2,7.1
21,96.2,96.5,17.6,23.4,55.9,44.2,11.1,15.5,6.8
22,96.1,96.5,19.2,24.9,56.4,45.2,10.8,17.4,7.1
23,96.2,96.7,19.0,25.0,56.0,45.8,10.4,16.4,7.0
24,96.2,96.8,19.1,25.4,55.6,45.8,9.8,15.4,6.2
25,96.2,96.9,18.8,25.2,54.0,45.6,9.5,15.0,6.0
26,96.1,96.9,19.1,25.8,55.9,47.0,9.5,14.8,5.9
27,96.2,97.0,19.1,25.8,55.4,47.4,9.3,14.8,5.8
28,96.3,96.9,18.9,25.8,55.6,48.2,8.9,14.7,5.9
29,96.1,96.8,19.1,25.9,55.9,49.1,8.6,14.9,5.7
30,96.0,96.5,19.3,26.2,56.3,50.1,8.3,14.8,5.8
令和元,95.6,96.0,20.6,27.1,56.6,50.7,7.9,14.3,5.5
2,95.3,95.7,20.5,27.3,57.7,50.9,7.6,14.2,5.6
