"Country or Area","Year(s)","Variant","Value"
"World","2100","Medium","10874902.318"
"World","2100","High","15599794.431"
"World","2100","Low","7321808.892"
"World","2100","Constant fertility","21632373.687"
"World","2100","Instant replacement","10415289.622"
"World","2100","Zero migration","10856552.159"
"World","2100","Constant mortality","8923656.857"
"World","2100","No change","17592194.916"
"World","2100","Momentum","9285344.045"
"World","2099","Medium","10871811.478"
"World","2099","High","15491041.386"
"World","2099","Low","7379575.009"
"World","2099","Constant fertility","21211936.419"
"World","2099","Instant replacement","10401042.854"
"World","2099","Zero migration","10853793.535"
"World","2099","Constant mortality","8954456.41"
"World","2099","No change","17323316.975"
"World","2099","Momentum","9285828.741"
"World","2098","Medium","10867893.848"
"World","2098","High","15382082.703"
"World","2098","Low","7436763.24"
"World","2098","Constant fertility","20803851.404"
"World","2098","Instant replacement","10386814.91"
"World","2098","Zero migration","10850208.292"
"World","2098","Constant mortality","8984607.15"
"World","2098","No change","17061375.259"
"World","2098","Momentum","9286432.663"
"World","2097","Medium","10863179.438"
"World","2097","High","15273046.033"
"World","2097","Low","7493341.024"
"World","2097","Constant fertility","20407827.574"
"World","2097","Instant replacement","10372628.028"
"World","2097","Zero migration","10845829.458"
"World","2097","Constant mortality","9014086.364"
"World","2097","No change","16806236.299"
"World","2097","Momentum","9287162.935"
"World","2096","Medium","10857694.249"
"World","2096","High","15164044.958"
"World","2096","Low","7549274.319"
"World","2096","Constant fertility","20023572.326"
"World","2096","Instant replacement","10358500.426"
"World","2096","Zero migration","10840685.417"
"World","2096","Constant mortality","9042870.521"
"World","2096","No change","16557763.846"
"World","2096","Momentum","9288023.535"
"World","2095","Medium","10851460.597"
"World","2095","High","15055180.255"
"World","2095","Low","7604532.436"
"World","2095","Constant fertility","19650791.267"
"World","2095","Instant replacement","10344445.974"
"World","2095","Zero migration","10834800.598"
"World","2095","Constant mortality","9070934.841"
"World","2095","No change","16315818.128"
"World","2095","Momentum","9289015.088"
"World","2094","Medium","10844496.726"
"World","2094","High","14946538.265"
"World","2094","Low","7659094.713"
"World","2094","Constant fertility","19289187.817"
"World","2094","Instant replacement","10330474.147"
"World","2094","Zero migration","10828195.35"
"World","2094","Constant mortality","9098253.122"
"World","2094","No change","16080256.355"
"World","2094","Momentum","9290134.815"
"World","2093","Medium","10836817.175"
"World","2093","High","14838191.879"
"World","2093","Low","7712918.959"
"World","2093","Constant fertility","18938463.821"
"World","2093","Instant replacement","10316590.256"
"World","2093","Zero migration","10820885.621"
"World","2093","Constant mortality","9124798.299"
"World","2093","No change","15850932.232"
"World","2093","Momentum","9291376.98"
"World","2092","Medium","10828432.708"
"World","2092","High","14730201.223"
"World","2092","Low","7765974.498"
"World","2092","Constant fertility","18598319.825"
"World","2092","Instant replacement","10302795.111"
"World","2092","Zero migration","10812883.379"
"World","2092","Constant mortality","9150542.475"
"World","2092","No change","15627698.257"
"World","2092","Momentum","9292732.326"
"World","2091","Medium","10819350.484"
"World","2091","High","14622616.013"
"World","2091","Low","7818230.87"
"World","2091","Constant fertility","18268457.239"
"World","2091","Instant replacement","10289084.934"
"World","2091","Zero migration","10804196.975"
"World","2091","Constant mortality","9175458.405"
"World","2091","No change","15410405.742"
"World","2091","Momentum","9294189.654"
"World","2090","Medium","10809575.802"
"World","2090","High","14515480.071"
"World","2090","Low","7869658.718"
"World","2090","Constant fertility","17948581.999"
"World","2090","Instant replacement","10275452.077"
"World","2090","Zero migration","10794832.117"
"World","2090","Constant mortality","9199521.632"
"World","2090","No change","15198910.628"
"World","2090","Momentum","9295735.714"
"World","2089","Medium","10799112.048"
"World","2089","High","14408837.149"
"World","2089","Low","7920238.705"
"World","2089","Constant fertility","17638409.259"
"World","2089","Instant replacement","10261882.803"
"World","2089","Zero migration","10784792.711"
"World","2089","Constant mortality","9222713.974"
"World","2089","No change","14993078.545"
"World","2089","Momentum","9297357.618"
"World","2088","Medium","10787962.319"
"World","2088","High","14302735.757"
"World","2088","Low","7969925.307"
"World","2088","Constant fertility","17337667.287"
