年度	売上額	キャンペーン	折込チラシ	ディスカウント
1997	563	3.8 	4.8 	2.8 
1998	579	3.0 	5.1 	2.9 
1999	593	2.9 	5.3 	2.8 
2000	598	2.9 	5.8 	2.8 
2001	598	3.0 	5.9 	2.9 
2002	605	3.3 	5.9 	3.2 
2003	613	3.4 	6.0 	3.3 
2004	614	4.0 	5.8 	3.9 
2005	613	4.1 	6.1 	4.0 
2006	615	4.3 	6.1 	4.1 
2007	628	4.3 	6.2 	4.0 
2008	638	4.5 	6.3 	4.3 
2009	641	4.2 	6.4 	4.1 
2010	648	4.1 	6.5 	4.0 
2011	638	4.2 	6.1 	4.1 
2012	643	4.0 	6.2 	3.9 
2013	645	3.9 	6.1 	3.8 
2014	641	3.7 	6.0 	3.6 
2015	642	3.9 	5.9 	3.8 
2016	645	4.0 	5.8 	3.9 
